german,article,plural,english,level,category
Garderobe,die,Garderoben,wardrobe / cloakroom,B1,clothing
Gehalt,das,Gehälter,salary / wages,B1,money
Geheimnis,das,Geheimnisse,secret,B1,general
Gehsteig,der,,pavement / sidewalk,B1,places
Geld,das,,money,B1,money
Geldautomat,der,Geldautomaten,ATM / cash machine,B1,money
Geldbörse,die,Geldbörsen,purse / wallet,B1,money
Gelegenheit,die,Gelegenheiten,opportunity / occasion,B1,general
Gefahr,die,Gefahren,danger,B1,general
Gefängnis,das,Gefängnisse,prison / jail,B1,places
Gefühl,das,Gefühle,feeling / emotion,B1,communication
Gegner,der,Gegner,opponent / adversary,B1,people
Gegend,die,Gegenden,area / region / neighbourhood,B1,places
Gegensatz,der,Gegensätze,contrast / opposite,B1,general
Gegenstand,der,Gegenstände,object / item,B1,general
Gegenteil,das,Gegenteile,opposite,B1,general
Gericht,das,Gerichte,court / dish (food),B1,places
Geschenk,das,Geschenke,gift / present,B1,general
Geschichte,die,Geschichten,history / story,B1,education
Geschirr,das,,dishes / crockery,B1,food
Geschlecht,das,Geschlechter,gender / sex,B1,people
Geschmack,der,,taste / flavour,B1,food
Geschwindigkeit,die,Geschwindigkeiten,speed / velocity,B1,transportation
Geschwindigkeitsbeschränkung,die,Geschwindigkeitsbeschränkungen,speed limit,B1,transportation
Geschwister,die,,siblings,B1,people
Gesellschaft,die,Gesellschaften,society / company,B1,people
Gesetz,das,Gesetze,law,B1,general
Gesicht,das,Gesichter,face,B1,body
Gemeinschaft,die,Gemeinschaften,community,B1,people
Gemüse,das,,vegetables,B1,food
Generation,die,Generationen,generation,B1,people
Gepäck,das,,luggage / baggage,B1,transportation
Gewürz,das,Gewürze,spice / seasoning,B1,food
Gift,das,Gifte,poison,B1,health
Gitarre,die,Gitarren,guitar,B1,communication
Glas,das,Gläser,glass,B1,food
Gleis,das,Gleise,track / rail,B1,transportation
Glück,das,,happiness / luck,B1,communication
Glückwunsch,der,Glückwünsche,congratulation,B1,communication
Gold,das,,gold,B1,general
Gespräch,das,Gespräche,conversation / talk,B1,communication
Gesundheit,die,,health,B1,health
Getränk,das,Getränke,drink / beverage,B1,food
Gewalt,die,Gewalten,violence / force,B1,general
Gewerkschaft,die,Gewerkschaften,trade union,B1,education
Gewicht,das,Gewichte,weight,B1,general
Gewinn,der,Gewinne,profit / prize / win,B1,money
Gewissen,das,,conscience,B1,communication
Gewitter,das,Gewitter,thunderstorm,B1,weather
Gewohnheit,die,Gewohnheiten,habit / custom,B1,general
Grundstück,das,Grundstücke,plot / property,B1,money
Gruppe,die,Gruppen,group,B1,people
Gruß,der,Grüße,greeting,B1,communication
Gymnastik,die,,gymnastics / exercise,B1,health
Haar,das,Haare,hair,B1,body
Gott,der,Götter,God,B1,general
Grafik,die,Grafiken,graphic / chart,B1,communication
Gras,das,,grass,B1,nature
Gratulation,die,Gratulationen,congratulation,B1,communication
Grenze,die,Grenzen,border / limit,B1,places
Grill,der,,grill / barbecue,B1,food
Grippe,die,,flu / influenza,B1,health
Grund,der,Gründe,reason / ground,B1,general
Halt,der,,stop,B1,transportation
Haltestelle,die,Haltestellen,bus stop / tram stop,B1,transportation
Hammer,der,Hämmer,hammer,B1,general
Hand,die,Hände,hand,B1,body
Handwerker,der,Handwerker,craftsman / tradesman,B1,people
Handel,der,,trade / commerce,B1,money
Händler,der,Händler,trader / dealer,B1,people
Handy,das,Handys,mobile phone / cell phone,B1,communication
Hackfleisch,das,,minced meat,B1,food
Hafen,der,Häfen,harbour / port,B1,places
Hähnchen/Hühnchen,das,,chicken,B1,food
Halbpension,die,,half board,B1,places
Hälfte,die,Hälften,half,B1,general
Halle,die,Hallen,hall,B1,places
Hallenbad,das,Hallenbäder,indoor swimming pool,B1,places
Hals,der,Hälse,neck / throat,B1,body
Heizung,die,Heizungen,heating,B1,home
Held,der,Helden,hero,B1,people
Hilfe,die,,help / assistance,B1,general
Hemd,das,Hemden,shirt,B1,clothing
Hendl,das,Hendl,chicken (Austrian),B1,food
Herausforderung,die,Herausforderungen,challenge,B1,general
Herd,der,Herde,cooker / stove,B1,home
Herr,der,Herren,gentleman / Mr,B1,people
Hersteller,der,Hersteller,manufacturer / producer,B1,people
Hauptbahnhof,der,Hauptbahnhöfe,main train station,B1,places
Haus,das,Häuser,house,B1,home
Hausaufgabe,die,Hausaufgaben,homework,B1,education
Hausfrau/Hausmann,die/der,,housewife / househusband,B1,people
Haushalt,der,Haushalte,household,B1,home
Hausmeister,der,Hausmeister,caretaker / janitor,B1,people
Haut,die,,skin,B1,body
Heft,das,Hefte,exercise book / notebook,B1,education
Heim,das,Heime,home / care home,B1,places
Heimat,die,,homeland / home,B1,places
Heimweh,das,,homesickness,B1,communication
Hinweis,der,Hinweise,hint / note / information,B1,general
Hitze,die,,heat,B1,weather
Hobby,das,Hobbys,hobby,B1,general
Höhe,die,,height / altitude,B1,general
Hochzeit,die,Hochzeiten,wedding,B1,people
Hof,der,Höfe,courtyard / farm,B1,home
Bauernhof,der,Bauernhöfe,farm,B1,places
Hoffnung,die,Hoffnungen,hope,B1,communication
Holz,das,,wood / timber,B1,nature
Honig,der,,honey,B1,food
Herz,das,Herzen,heart,B1,body
Himmel,der,,sky / heaven,B1,nature
Import,der,Importe,import,B1,money
Industrie,die,Industrien,industry,B1,education
Infektion,die,Infektionen,infection,B1,health
Information,die,Informationen,information,B1,communication
Ingenieur,der,Ingenieure,engineer,B1,people
Inhalt,der,Inhalte,content / contents,B1,general
Hörer,der,Hörer,listener / receiver (phone),B1,communication
Zuhörer,der,,listener / audience,B1,communication
Hose,die,Hosen,trousers / pants,B1,clothing
Hotel,das,Hotels,hotel,B1,places
Hügel,der,Hügel,hill,B1,nature
Humor,der,,humour / humor,B1,communication
Hunger,der,,hunger,B1,food
Husten,der,,cough,B1,health
Hut,der,Hüte,hat,B1,clothing
Hütte,die,Hütten,hut / cabin,B1,places
Idee,die,Ideen,idea,B1,general
Imbiss,der,Imbisse,snack bar / fast food stand,B1,food
Interview,das,Interviews,interview,B1,communication
Jacke,die,Jacken,jacket,B1,clothing
Jause,die,Jausen,snack / break (Austrian),B1,food
Jeans,die,,jeans,B1,clothing
Insel,die,Inseln,island,B1,nature
Inserat,das,Inserate,advertisement,B1,communication
Institut,das,Institute,institute,B1,places
Instrument,das,Instrumente,instrument,B1,communication
Integration,die,Integrationen,integration,B1,general
Intelligenz,die,,intelligence,B1,general
Intensivkurs,der,Intensivkurse,intensive course,B1,education
Interesse,das,Interessen,interest,B1,general
Kabel,das,Kabel,cable,B1,general
Kabine,die,Kabinen,cabin / cubicle,B1,transportation
Kaffee,der,,coffee,B1,food
Kaffeehaus,das,Kaffeehäuser,coffee house (Austrian),B1,places
Kakao,der,Kakaos,cocoa / hot chocolate,B1,food
Kalender,der,Kalender,calendar,B1,time
Kälte,die,,cold / coldness,B1,weather
Kamera,die,Kameras,camera,B1,communication
Kampf,der,Kämpfe,fight / battle / struggle,B1,general
Kanal,der,Kanäle,canal / channel,B1,places
Kandidat,der,Kandidaten,candidate,B1,people
Kanne,die,Kannen,jug / pot,B1,food
Kantine,die,Kantinen,canteen,B1,places
Kapitel,das,Kapitel,chapter,B1,education
Journalist,der,Journalisten,journalist,B1,people
Jugend,die,,youth,B1,people
Jugendliche,der,Jugendlichen,young person / teenager,B1,people
Jugendherberge,die,Jugendherbergen,youth hostel,B1,places
Junge,der,Jungen,boy,B1,people
Käufer,der,Käufer,buyer / customer,B1,people
Kellner,der,Kellner,waiter,B1,people
Kenntnisse,die,,knowledge / skills,B1,education
Kennzeichen,das,Kennzeichen,licence plate / characteristic,B1,transportation
Kerze,die,Kerzen,candle,B1,home
Kette,die,Ketten,chain / necklace,B1,clothing
Kind,das,Kinder,child,B1,people
Kindergarten,der,Kindergärten,kindergarten / nursery school,B1,education
Kindheit,die,,childhood,B1,people
Kino,das,Kinos,cinema / movie theatre,B1,places
Kiosk,der,Kioske,kiosk / newsstand,B1,places
Kirche,die,Kirchen,church,B1,places
Karneval,der,Karnevals,carnival,B1,communication
Karotte,die,Karotten,carrot,B1,food
Karriere,die,Karrieren,career,B1,education
Karte,die,Karten,card / map / ticket,B1,general
Chipkarte,die,Chipkarten,chip card / smart card,B1,money
Kartoffel,die,Kartoffeln,potato,B1,food
Käse,der,,cheese,B1,food
Kasse,die,Kassen,checkout / cash register / cashier,B1,money
Kassette,die,Kassetten,cassette / tape,B1,communication
Kasten,der,Kästen,box / cupboard,B1,furniture
Katalog,der,Kataloge,catalogue,B1,money
Katastrophe,die,Katastrophen,catastrophe / disaster,B1,general
Kauf,der,,purchase / buy,B1,money
Klingel,die,Klingeln,doorbell / bell,B1,home
Klinik,die,Kliniken,clinic / hospital,B1,places
Kloß,der,Klöße,dumpling,B1,food
Kneipe,die,Kneipen,pub / bar,B1,places
Knie,das,Knie,knee,B1,body
Knochen,der,Knochen,bone,B1,body
Knödel,der,Knödel,dumpling (Austrian),B1,food
Knopf,der,Knöpfe,button,B1,clothing
Koch,der,Köche,cook / chef,B1,people
Koffer,der,Koffer,suitcase,B1,transportation
Kollege,der,Kollegen,colleague,B1,people
Kiste,die,Kisten,crate / box,B1,general
Kissen,das,Kissen,pillow / cushion,B1,furniture
Klasse,die,Klassen,class,B1,education
Klassenarbeit,die,Klassenarbeiten,class test,B1,education
Klavier,das,Klaviere,piano,B1,communication
Kleid,das,Kleider,dress,B1,clothing
Kleidung,die,,clothing,B1,clothing
Klick,der,Klick,click,B1,general
Klima,das,,climate,B1,weather
Klimaanlage,die,Klimaanlagen,air conditioning,B1,home
Konsulat,das,Konsulate,consulate,B1,places
Konsum,der,,consumption,B1,money
Kontakt,der,Kontakte,contact,B1,communication
Konto,das,Konten,account (bank),B1,money
Girokonto,das,Girokonten,current account / checking account,B1,money
Kontrolle,die,Kontrollen,control / check,B1,general
Konzert,das,Konzerte,concert,B1,communication
Kopf,der,Köpfe,head,B1,body
Kopie,die,Kopien,copy,B1,general
Kopierer,der,Kopierer,photocopier,B1,general
Körper,der,Körper,body,B1,body
Korridor,der,Korridore,corridor,B1,home
Kommunikation,die,,communication,B1,communication
Kompromiss,der,Kompromisse,compromise,B1,general
Konferenz,die,Konferenzen,conference,B1,education
Konfitüre,die,Konfitüren,jam (Swiss),B1,food
Konflikt,der,Konflikte,conflict,B1,general
König,der,Könige,king,B1,people
Konkurrenz,die,,competition,B1,money
Kredit,der,Kredite,credit / loan,B1,money
Kreditkarte,die,Kreditkarten,credit card,B1,money
Kreis,der,Kreise,circle / district,B1,places
Kreuz,das,Kreuze,cross,B1,general
Kreuzung,die,Kreuzungen,crossroads / intersection,B1,transportation
Krieg,der,Kriege,war,B1,general
Krimi,der,Krimis,crime novel / detective story,B1,communication
Krise,die,Krisen,crisis,B1,general
Kritik,die,Kritiken,criticism / critique,B1,communication
Küche,die,Küchen,kitchen / cuisine,B1,home
Kuchen,der,Kuchen,cake,B1,food
Kugelschreiber,der,Kugelschreiber,ballpoint pen,B1,general
Kuli,der,Kulis,ballpoint pen (informal),B1,general
Kühlschrank,der,Kühlschränke,refrigerator / fridge,B1,home
Kosten,die,,costs / expenses,B1,money
Kostüm,das,Kostüme,costume / suit,B1,clothing
Kraft,die,Kräfte,strength / power,B1,general
Kraftfahrzeug,das,Kraftfahrzeuge,motor vehicle,B1,transportation
Kraftwerk,das,Kraftwerke,power station,B1,places
Kranke,der,Kranken,sick person / patient,B1,health
Krankenhaus,das,Krankenhäuser,hospital,B1,places
Krankenkasse,die,Krankenkassen,health insurance fund,B1,health
Krankenpfleger,der,Krankenpfleger,nurse (male),B1,people
Krankenschwester,die,Krankenschwestern,nurse (female),B1,people
Krankenwagen,der,Krankenwagen,ambulance,B1,transportation
Krankheit,die,Krankheiten,illness / disease,B1,health
Kuss,der,Küsse,kiss,B1,communication
Küste,die,Küsten,coast,B1,nature
Kuvert,das,Kuverts,envelope (Austrian),B1,communication
Laden,der,Läden,shop / store,B1,places
Lage,die,,location / situation,B1,general
Lager,das,Lager,warehouse / storage / camp,B1,places
Lampe,die,Lampen,lamp / light,B1,home
Land,das,Länder,country / countryside,B1,places
Landwirtschaft,die,,agriculture / farming,B1,nature
Landschaft,die,Landschaften,landscape / scenery,B1,nature
Kultur,die,Kulturen,culture,B1,communication
Kunde,der,Kunden,customer / client,B1,people
Kündigung,die,Kündigungen,notice / termination,B1,education
Kunst,die,Künste,art,B1,communication
Künstler,der,Künstler,artist (male),B1,people
Kunststoff,der,Kunststoffe,plastic,B1,general
Kurs,der,Kurse,course,B1,education
Kursleiter,der,Kursleiter,course instructor,B1,people
Kurve,die,Kurven,curve / bend,B1,transportation
Laufwerk,das,Laufwerke,drive (computer),B1,general
Laune,die,Launen,mood,B1,communication
Lautsprecher,der,Lautsprecher,loudspeaker / speaker,B1,communication
Leben,das,,life,B1,general
Lebenslauf,der,Lebensläufe,curriculum vitae / CV / résumé,B1,education
Lebensmittel,die,,food / groceries,B1,food
Leder,das,,leather,B1,clothing
Lehre,die,,apprenticeship / teaching,B1,education
Lehrstelle,die,Lehrstellen,apprenticeship position,B1,education
Landung,die,Landungen,landing,B1,transportation
Länge,die,,length,B1,general
Langeweile,die,,boredom,B1,communication
Lärm,der,,noise,B1,general
Laster,der,Laster,truck / vice,B1,transportation
Lerner,der,Lerner,learner,B1,people
Leser,der,Leser,reader,B1,people
Lexikon,das,Lexika,encyclopaedia / dictionary,B1,education
Liebe,die,,love,B1,communication
Lieferung,die,Lieferungen,delivery,B1,money
Lehrer,der,Lehrer,teacher (male),B1,people
Lehrling,der,Lehrlinge,apprentice,B1,people
Leistung,die,Leistungen,performance / achievement,B1,general
Leiter,der,Leiter,leader / ladder,B1,people
Leitung,die,Leitungen,management / pipe / line,B1,general
Luft,die,,air,B1,nature
Lüge,die,Lügen,lie,B1,communication
Lust,die,,desire / mood / pleasure,B1,communication
Mädchen,das,Mädchen,girl,B1,people
Magazin,das,Magazine,magazine,B1,communication
Magen,der,Mägen,stomach,B1,body
Mahlzeit,die,Mahlzeiten,meal,B1,food
Mahnung,die,Mahnungen,reminder / warning,B1,money
Lift,der,Lifte,lift / elevator,B1,home
Limonade,die,Limonaden,lemonade / soft drink,B1,food
Linie,die,Linien,line / route,B1,transportation
Liste,die,Listen,list,B1,general
Literatur,die,,literature,B1,communication
Loch,das,Löcher,hole,B1,general
Löffel,der,Löffel,spoon,B1,food
Lohn,der,Löhne,wage / salary,B1,money
Lokal,das,Lokale,restaurant / pub / local,B1,places
Marmelade,die,Marmeladen,jam / marmalade,B1,food
Maschine,die,Maschinen,machine,B1,general
Material,das,,material,B1,general
Matura,die,,school-leaving exam (Austrian/Swiss),B1,education
Mauer,die,Mauern,wall,B1,home
Mechaniker,der,Mechaniker,mechanic,B1,people
Medien,die,,media,B1,communication
Medikament,das,Medikamente,medicine / medication,B1,health
Medizin,die,,medicine,B1,health
Meer,das,Meere,sea / ocean,B1,nature
Mehl,das,,flour,B1,food
Mehrheit,die,Mehrheiten,majority,B1,general
Mehrwertsteuer,die,,value added tax / VAT,B1,money
Mal,das,Male,time / occasion,B1,time
Maler,der,Maler,painter,B1,people
Mangel,der,Mängel,lack / shortage,B1,general
Mann,der,Männer,man / husband,B1,people
Mannschaft,die,Mannschaften,team,B1,people
Mantel,der,Mäntel,coat / overcoat,B1,clothing
Mappe,die,Mappen,folder / briefcase,B1,general
Märchen,das,Märchen,fairy tale,B1,communication
Margarine,die,,margarine,B1,food
Marille,die,Marillen,apricot (Austrian),B1,food
Marke,die,Marken,brand / mark / stamp,B1,money
Markt,der,Märkte,market,B1,places
Messer,das,Messer,knife,B1,food
Metall,das,Metalle,metal,B1,general
Methode,die,Methoden,method,B1,general
Metropole,die,Metropolen,metropolis,B1,places
Metzger,der,Metzger,butcher,B1,people
Miete,die,Mieten,rent,B1,money
Mieter,der,Mieter,tenant / renter,B1,people
Migrant,der,Migranten,migrant,B1,people
Migration,die,,migration,B1,people
Milch,die,,milk,B1,food
Minderheit,die,Minderheiten,minority,B1,people
Mineralwasser,das,,mineral water,B1,food
Meinung,die,Meinungen,opinion,B1,communication
Meister,der,Meister,master / champion,B1,people
Meldung,die,Meldungen,report / message / notification,B1,communication
Menge,die,Mengen,quantity / crowd / amount,B1,general
Mensa,die,Mensas,university canteen,B1,places
Mensch,der,Menschen,person / human being,B1,people
Menü,das,Menüs,menu / set meal,B1,food
Messe,die,Messen,trade fair / mass,B1,places
Mobiltelefon,das,Mobiltelefone,mobile phone,B1,communication
Mode,die,Moden,fashion,B1,clothing
Modell,das,Modelle,model,B1,general
Möglichkeit,die,Möglichkeiten,possibility / opportunity,B1,general
Möhre,die,Möhren,carrot,B1,food
Moment,der,Momente,moment,B1,time
Mond,der,Monde,moon,B1,nature
Monitor,der,Monitore,monitor / screen,B1,general
Motor,der,Motoren,engine / motor,B1,transportation
Motorrad,das,Motorräder,motorcycle / motorbike,B1,transportation
Mühe,die,,effort / trouble,B1,general
Müll,der,,rubbish / garbage,B1,general
Müllabfuhr,die,,rubbish collection / garbage collection,B1,general
Mitarbeiter,der,Mitarbeiter,employee / colleague / staff member,B1,people
Mitglied,das,Mitglieder,member,B1,people
Mitte,die,,middle / centre,B1,general
Mittel,das,Mittel,means / remedy,B1,general
Möbel,das,Möbel,furniture,B1,furniture
Mobilität,die,Mobilitäten,mobility,B1,transportation
Nachfrage,die,Nachfragen,demand / inquiry,B1,money
Nachhilfe,die,Nachhilfen,tutoring / private tuition,B1,education
Nachricht,die,Nachrichten,message / news,B1,communication
Nachspeise,die,Nachspeisen,dessert (Austrian),B1,food
Nachwuchs,der,,offspring / new talent,B1,people
Nadel,die,Nadeln,needle / pin,B1,general
Nagel,der,Nägel,nail,B1,general
Nähe,die,,proximity / vicinity,B1,general
Mülltonne,die,Mülltonnen,rubbish bin / dustbin,B1,home
Mund,der,Münder,mouth,B1,body
Münze,die,Münzen,coin,B1,money
Musik,die,,music,B1,communication
Musiker,der,Musiker,musician (male),B1,people
Musikerin,die,,musician (female),B1,people
Muskel,der,Muskeln,muscle,B1,body
Müesli/Müsli,das,Müesli/Müsli,muesli,B1,food
Mut,der,,courage,B1,communication
Mutter,die,Mütter,mother,B1,people
Nachbar,der,Nachbarn,neighbour (male),B1,people
Nachbarin,die,,neighbour (female),B1,people
Nerv,der,Nerven,nerve,B1,body
Netz,das,Netze,net / network,B1,general
Netzwerk,das,Netzwerke,network,B1,general
Neuigkeit,die,Neuigkeiten,news / novelty,B1,communication
Nichte,die,Nichten,niece,B1,people
Nichtraucher,der,Nichtraucher,non-smoker,B1,health
Nahrungsmittel,das,Nahrungsmittel,food / foodstuff,B1,food
Name,der,Namen,name,B1,general
Familienname,der,Familiennamen,family name / surname,B1,people
Vorname,der,Vornamen,first name / given name,B1,people
Nase,die,Nasen,nose,B1,body
Nebel,der,Nebel,fog / mist,B1,weather
Neffe,der,Neffen,nephew,B1,people
Notruf,der,,emergency call,B1,health
Note,die,Noten,note / grade / mark,B1,education
Notiz,die,Notizen,note,B1,general
Nudel,die,Nudeln,noodle / pasta,B1,food
Nummer,die,Nummern,number,B1,general
Notausgang,der,Notausgänge,emergency exit,B1,places
Notfall,der,Notfälle,emergency,B1,health
Ohr,das,Ohren,ear,B1,body
Oma,die,Omas,grandma / granny,B1,people
Onkel,der,Onkel,uncle,B1,people
Opa,der,Opas,grandpa,B1,people
Oper,die,Opern,opera,B1,communication
Operation,die,Operationen,operation / surgery,B1,health
Opfer,das,Opfer,victim / sacrifice,B1,general
Orange,die,Orangen,orange,B1,food
Orchester,das,Orchester,orchestra,B1,communication
Obst,das,,fruit,B1,food
Öffentlichkeit,die,,public,B1,general
Paket,das,Pakete,parcel / package,B1,general
Panne,die,Pannen,breakdown / puncture,B1,transportation
Papier,das,Papiere,paper,B1,general
Paradeiser,der,Paradeiser,tomato (Austrian),B1,food
Parfüm,das,Parfüms,perfume,B1,health
Park,der,Parks,park,B1,places
Partner,der,Partner,partner,B1,people
Party,die,Partys,party,B1,communication
Pass,der,Pässe,passport,B1,general
Passagier,der,Passagiere,passenger,B1,transportation
Ordination,die,Ordinationen,doctor's surgery (Austrian),B1,health
Ordner,der,Ordner,folder / binder,B1,general
Ordnung,die,,order / tidiness,B1,general
Organisation,die,Organisationen,organisation,B1,general
Original,das,Originale,original,B1,general
Ort,der,Orte,place / location,B1,places
Vorort,der,Vororte,suburb,B1,places
Wohnort,der,Wohnorte,place of residence,B1,places
Ozean,der,Ozeane,ocean,B1,nature
Paar,das,Paare,pair / couple,B1,people
Pfeffer,der,,pepper,B1,food
Pflanze,die,Pflanzen,plant,B1,nature
Pflaster,das,Pflaster,plaster / bandage,B1,health
Pflaume,die,Pflaumen,plum,B1,food
Pfleger,der,Pfleger,carer / nurse,B1,people
Pflicht,die,Pflichten,duty / obligation,B1,general
Phantasie/Fantasie,die,Phantasie/Fantasien,fantasy / imagination,B1,general
Picknick,das,Picknicks,picnic,B1,food
Pille,die,Pillen,pill / tablet,B1,health
Pilz,der,Pilze,mushroom / fungus,B1,food
Pizza,die,Pizzas,pizza,B1,food
Plakat,das,Plakate,poster / placard,B1,communication
Plan,der,Pläne,plan,B1,general
Planung,die,Planungen,planning,B1,general
Plastik,das,,plastic,B1,general
Platz,der,Plätze,place / seat / square,B1,places
Patient,der,Patienten,patient,B1,health
Pause,die,Pausen,break / pause,B1,time
Pech,das,,bad luck / pitch,B1,general
Pension,die,Pensionen,pension / guesthouse / retirement,B1,places
Pensionist,der,Pensionisten,pensioner / retiree,B1,people
Perron,der,Perrons,platform (Swiss),B1,transportation
Person,die,Personen,person,B1,people
Personalien,die,,personal details,B1,people
Personenstand,der,,civil status,B1,people
Personal,das,,staff / personnel,B1,people
Pfanne,die,Pfannen,pan / frying pan,B1,food
Praxis,die,,practice / surgery,B1,health
Preis,der,Preise,price / prize,B1,money
Presse,die,,press / media,B1,communication
Problem,das,Probleme,problem,B1,general
Produkt,das,Produkte,product,B1,money
Produktion,die,,production,B1,education
Professor,der,Professoren,professor,B1,people
Profi,der,Profis,professional,B1,people
Politik,die,,politics,B1,general
Politiker,der,Politiker,politician,B1,people
Polizei,die,,police,B1,places
Polizist,der,Polizisten,police officer,B1,people
Pommes,die,,chips / French fries,B1,food
Portemonnaie/Portmonee,das,Portemonnaie/Portmonees,wallet / purse,B1,money
Portion,die,Portionen,portion / serving,B1,food
Postleitzahl,die,Postleitzahlen,postcode / zip code,B1,general
Pöstler,der,Pöstler,postman (Swiss),B1,people
Poulet,das,Poulets,chicken (Swiss),B1,food
Praktikum,das,Praktika,internship / work placement,B1,education
Praktikant,der,Praktikanten,intern,B1,people
Universität,die,,university,B1,education
Quartier,das,Quartiere,quarter / neighbourhood / accommodation,B1,places
Quittung,die,Quittungen,receipt,B1,money
Quiz,das,,quiz,B1,general
Rabatt,der,Rabatte,discount,B1,money
Rad,das,Räder,wheel / bicycle,B1,transportation
Radfahrer,der,Radfahrer,cyclist,B1,people
Radio,das,Radios,radio,B1,communication
Rand,der,Ränder,edge / border / margin,B1,general
Rasen,der,Rasen,lawn / grass,B1,nature
Rat,der,,advice / council,B1,general
Rätsel,das,Rätsel,puzzle / riddle,B1,general
Rathaus,das,Rathäuser,town hall / city hall,B1,places
Profisportler,der,Profisportler,professional athlete,B1,people
Programm,das,Programme,programme / schedule,B1,communication
Projekt,das,Projekte,project,B1,education
Prospekt,der,Prospekte,brochure / prospectus,B1,communication
Protest,der,Proteste,protest,B1,general
Prozess,der,Prozesse,process / trial,B1,general
Prüfung,die,Prüfungen,exam / test,B1,education
Publikum,das,,audience / public,B1,communication
Pullover,der,Pullover,pullover / jumper,B1,clothing
Puppe,die,Puppen,doll / puppet,B1,general
Qualifikation,die,Qualifikationen,qualification,B1,education
Qualität,die,Qualitäten,quality,B1,general
Rede,die,Reden,speech,B1,communication
Referat,das,Referate,paper / presentation / report,B1,education
Reform,die,Reformen,reform,B1,general
Regal,das,Regale,shelf,B1,furniture
Regel,die,Regeln,rule,B1,general
Regen,der,,rain,B1,weather
Region,die,Regionen,region,B1,places
Reifen,der,Reifen,tyre / tire / hoop,B1,transportation
Reihe,die,Reihen,row / series,B1,general
Raucher,der,Raucher,smoker,B1,health
Raum,der,Räume,room / space,B1,home
Reaktion,die,Reaktionen,reaction,B1,general
Realität,die,Realitäten,reality,B1,general
Recherche,die,Recherchen,research,B1,education
Rechner,der,Rechner,calculator / computer,B1,general
Rechnung,die,Rechnungen,bill / invoice,B1,money
Recht,das,Rechte,right / law,B1,general
Reparatur,die,Reparaturen,repair,B1,general
Reportage,die,Reportagen,report / documentary,B1,communication
Reporter,der,Reporter,reporter,B1,people
Reservierung,die,Reservierungen,reservation,B1,places
Respekt,der,,respect,B1,communication
Rest,der,Reste,rest / remainder,B1,general
Restaurant,das,Restaurants,restaurant,B1,places
Rezept,das,Rezepte,recipe / prescription,B1,food
Rezeption/Reception,die,Rezeption/Reception,reception,B1,places
Richter,der,Richter,judge,B1,people
Richtung,die,Richtungen,direction,B1,general
Rind,das,Rinder,cattle / beef,B1,food
Ring,der,Ringe,ring,B1,clothing
Reihenfolge,die,Reihenfolgen,sequence / order,B1,general
Reinigung,die,Reinigungen,cleaning / dry cleaner's,B1,home
Reis,der,,rice,B1,food
Reise,die,Reisen,journey / trip,B1,transportation
Reisebüro,das,Reisebüros,travel agency,B1,places
Reklame,die,Reklamen,advertisement / advertising,B1,communication
Rekord,der,Rekorde,record,B1,general
Religion,die,Religionen,religion,B1,general
Rente,die,Renten,pension,B1,money
Rentner,der,Rentner,pensioner / retiree,B1,people
Runde,die,Runden,round,B1,general
Rundfahrt,die,Rundfahrten,round trip / tour,B1,transportation
Saal,der,Säle,hall / room,B1,places
Sache,die,Sachen,thing / matter,B1,general
Sack,der,Säcke,sack / bag,B1,general
Saft,der,Säfte,juice,B1,food
Saison,die,Saisons,season,B1,time
Salat,der,Salate,salad / lettuce,B1,food
Salbe,die,Salben,ointment / cream,B1,health
Salon,der,Salons,salon,B1,places
Salz,das,Salze,salt,B1,food
Sand,der,,sand,B1,nature
Risiko,das,Risiken,risk,B1,general
Rock,der,Röcke,skirt / rock (music),B1,clothing
Rolle,die,Rollen,role,B1,general
Roman,der,Romane,novel,B1,communication
Rose,die,Rosen,rose,B1,nature
Rucksack,der,Rucksäcke,backpack / rucksack,B1,clothing
Rückkehr,die,,return,B1,transportation
Rücken,der,Rücken,back,B1,body
Rücksicht,die,Rücksichten,consideration / regard,B1,general
Rüebli,das,Rüebli,carrot (Swiss),B1,food
Rufnummer,die,Rufnummern,telephone number,B1,communication
Ruhe,die,,peace / quiet / rest,B1,general
Schaufenster,das,Schaufenster,shop window / display window,B1,places
Schauspieler,der,Schauspieler,actor,B1,people
Scheibe,die,Scheiben,disc / slice / pane,B1,general
Scheidung,die,Scheidungen,divorce,B1,people
Schein,der,Scheine,certificate / note (money) / light,B1,money
Schere,die,Scheren,scissors,B1,general
Schiff,das,Schiffe,ship,B1,transportation
Sänger,der,Sänger,singer (male),B1,people
Satz,der,Sätze,sentence / set / rate,B1,education
Schachtel,die,Schachteln,box,B1,general
Schaden,der,Schäden,damage,B1,general
Schalter,der,Schalter,counter / switch,B1,places
Schatten,der,Schatten,shadow / shade,B1,nature
Schloss,das,Schlösser,castle / lock,B1,places
Schluss,der,,end / conclusion,B1,general
Schlüssel,der,Schlüssel,key,B1,home
Schmerz,der,Schmerzen,pain,B1,health
Schmerzmittel,das,Schmerzmittel,painkiller,B1,health
Schmuck,der,,jewellery,B1,clothing
Schmutz,der,,dirt / filth,B1,general
Schnee,der,,snow,B1,weather
Schild,das,Schilder,sign / shield,B1,general
Schinken,der,Schinken,ham,B1,food
Schirm,der,Schirme,umbrella / screen,B1,clothing
Schlaf,der,,sleep,B1,health
